Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
12/18/2018,Open,,18-03387936,Street Lights - All/Out,1500 N CICERO AVE,60651,1144107.46747355,1909542.1377168,37,25,25,41.907807428330116,-87.74606522359126,"(41.90780742833, -87.746065223591)"
12/18/2018,Open - Dup,,18-03387606,Street Lights - All/Out,5200 W MONTROSE AVE,60641,1140896.48548315,1928758.92801468,38,16,15,41.960599962729084,-87.75738658630031,"(41.960599962729, -87.7573865863)"
12/18/2018,Open,,18-03387910,Street Lights - All/Out,2100 S LAWNDALE AVE,60623,1152027.68448827,1889801.90818927,24,10,29,41.85348564872331,-87.71749067529254,"(41.853485648723, -87.717490675293)"
12/17/2018,Open - Dup,,18-03379641,Street Lights - All/Out,13226 S COMMERCIAL AVE,60633,1198104.54999239,1817857.8341047,10,4,55,41.65503481413393,-87.55077695440643,"(41.655034814134, -87.550776954406)"
12/17/2018,Open,,18-03385112,Street Lights - All/Out,5600 W BERENICE AVE,60634,1138330.47281439,1925036.35446893,38,16,15,41.95043180587053,-87.76691113067405,"(41.950431805871, -87.766911130674)"
12/17/2018,Open,,18-03378241,Street Lights - All/Out,12738 S LOWE AVE,60628,1174301.25651986,1820384.63819174,9,5,53,41.66252879010104,-87.63779900008863,"(41.662528790101, -87.637799000089)"
12/17/2018,Open,,18-03385304,Street Lights - All/Out,3681 N ELSTON AVE,60618,1153521.65972343,1924314.00769286,33,17,16,41.94816055968505,-87.71108843673638,"(41.948160559685, -87.711088436736)"
12/17/2018,Open,,18-03385036,Street Lights - All/Out,3632 N PITTSBURGH AVE,60634,1120427.35200429,1923108.00087172,38,16,17,41.945445974175854,-87.83276441672481,"(41.945445974176, -87.832764416725)"
12/17/2018,Open,,18-03378183,Street Lights - All/Out,10700 S RHODES AVE,60628,1181808.3385036,1834124.19253078,9,5,49,41.70006255039735,-87.60990507316903,"(41.700062550397, -87.609905073169)"
12/17/2018,Open,,18-03384387,Street Lights - All/Out,3400 W 82ND PL,60652,1155153.86281997,1849683.92009443,18,8,70,41.74333415531628,-87.70708916376248,"(41.743334155316, -87.707089163762)"
12/17/2018,Open,,18-03378226,Street Lights - All/Out,8100 S THROOP ST,60620,1169068.3098243,1851059.95513047,21,6,71,41.7468209972661,-87.65606598236892,"(41.746820997266, -87.656065982369)"
12/17/2018,Open - Dup,,18-03382807,Street Lights - All/Out,8400 S ESCANABA AVE,60617,1196946.00003234,1849832.89009641,10,4,46,41.74280630443615,-87.55395732244702,"(41.742806304436, -87.553957322447)"
12/17/2018,Open,,18-03378678,Street Lights - All/Out,13231 S EXCHANGE AVE,60633,1197771.78947973,1817821.74737564,10,4,55,41.65494407123827,-87.55199571027454,"(41.654944071238, -87.551995710275)"
12/17/2018,Open,,18-03378509,Street Lights - All/Out,12532 S HARVARD AVE,60628,1176231.4530007,1821827.17318579,9,5,53,41.66644437866656,-87.63069249338767,"(41.666444378667, -87.630692493388)"
12/17/2018,Open,,18-03378335,Street Lights - All/Out,2800 W LUNT AVE,60645,1156437.52778328,1946310.6516749,50,24,2,42.00846187881394,-87.69977226835843,"(42.008461878814, -87.699772268358)"
12/17/2018,Open,,18-03379787,Street Lights - All/Out,3328 W PIERCE AVE,60651,1153885.68969671,1910101.97517852,26,14,23,41.90915434867304,-87.71013003560556,"(41.909154348673, -87.710130035606)"
12/17/2018,Open - Dup,,18-03378154,Street Lights - All/Out,2561 S DAMEN AVE,60608,1163443.92120833,1886998.27607977,25,10,31,41.845559880908795,-87.67566776738143,"(41.845559880909, -87.675667767381)"
12/17/2018,Open - Dup,,18-03379884,Street Lights - All/Out,100 W ADAMS ST,60603,1175562.70500805,1899431.45479199,42,1,32,41.8794140915757,-87.6308199709909,"(41.879414091576, -87.630819970991)"
12/17/2018,Open,,18-03378305,Street Lights - All/Out,3500 W DOUGLAS BLVD,60623,1153258.58659901,1893233.73250409,24,10,29,41.86287865587329,-87.71288177287032,"(41.862878655873, -87.71288177287)"
12/17/2018,Open,,18-03378239,Street Lights - All/Out,10439 S SANGAMON ST,60643,1171828.85193127,1835603.2986712,34,22,73,41.704345664619034,-87.64640262319192,"(41.704345664619, -87.646402623192)"
12/17/2018,Open,,18-03378303,Street Lights - All/Out,4700 N SPRINGFIELD AVE,60625,1149544.08110267,1930949.24161554,35,17,14,41.96644644240854,-87.72553627816723,"(41.966446442409, -87.725536278167)"
12/17/2018,Open,,18-03384522,Street Lights - All/Out,8435 S BENNETT AVE,60617,1190324.67922098,1849421.10619065,8,4,45,41.74183833179857,-87.57823081960339,"(41.741838331799, -87.578230819603)"
12/17/2018,Open,,18-03385117,Street Lights - All/Out,12199 S EDBROOKE AVE,60628,1179403.19992961,1824098.9123063,9,5,53,41.67260683029123,-87.61901603392161,"(41.672606830291, -87.619016033922)"
12/17/2018,Open,,18-03384385,Street Lights - All/Out,7742 S CARPENTER ST,60620,1170655.98150397,1853477.44478075,17,6,71,41.753420470271585,-87.65017801662474,"(41.753420470272, -87.650178016625)"
12/17/2018,Open,,18-03378402,Street Lights - All/Out,5315 W GEORGE ST,60641,1140442.69859628,1918767.29527288,31,25,19,41.933190323427894,-87.75930097600798,"(41.933190323428, -87.759300976008)"
12/17/2018,Open,,18-03378164,Street Lights - All/Out,4301 S RACINE AVE,60609,1169069.829011,1876253.54797001,11,9,61,41.81595522739352,-87.65533252295782,"(41.815955227394, -87.655332522958)"
12/17/2018,Open,,18-03378290,Street Lights - All/Out,4700 N SPAULDING AVE,60625,1153533.55098608,1931037.36996915,33,17,14,41.966609676213714,-87.71086521110081,"(41.966609676214, -87.710865211101)"
12/17/2018,Open,,18-03384363,Street Lights - All/Out,10451 S CALHOUN AVE,60617,1194857.91728857,1836205.90930638,10,4,51,41.70546426624124,-87.5620552980939,"(41.705464266241, -87.562055298094)"
12/17/2018,Open,,18-03383189,Street Lights - All/Out,3030 N LUNA AVE,60641,1138841.6412185,1919597.39648386,31,25,19,41.935497473231486,-87.76516461217632,"(41.935497473231, -87.765164612176)"
12/17/2018,Open,,18-03383274,Street Lights - All/Out,430 W 41ST ST,60609,1174031.76541536,1877750.75510669,11,9,61,41.819954827959506,-87.63708672571443,"(41.81995482796, -87.637086725714)"
12/17/2018,Open,,18-03379813,Street Lights - All/Out,2601 S SPRINGFIELD AVE,60623,1150793.02461077,1886433.07677288,22,10,30,41.844265366177545,-87.72211036011052,"(41.844265366178, -87.722110360111)"
12/17/2018,Open,,18-03385432,Street Lights - All/Out,12100 S MICHIGAN AVE,60628,1179019.90641065,1824721.51993229,9,5,53,41.67432407074832,-87.62040004114895,"(41.674324070748, -87.620400041149)"
12/17/2018,Open,,18-03378407,Street Lights - All/Out,5744 N LANSING AVE,60646,1142255.02030903,1937765.69027481,39,16,12,41.98529007283121,-87.75216722978918,"(41.985290072831, -87.752167229789)"
12/17/2018,Open,,18-03378369,Street Lights - All/Out,300 N STATE ST,60654,1176305.95490992,1902374.25198164,42,18,8,41.88747256454026,-87.62800209608477,"(41.88747256454, -87.628002096085)"
12/17/2018,Open,,18-03378168,Street Lights - All/Out,3232 S CALUMET AVE,60616,1179126.60098738,1883636.85339096,4,2,35,41.835991925620746,-87.61821710512751,"(41.835991925621, -87.618217105128)"
12/17/2018,Open,,18-03384723,Street Lights - All/Out,1118 W 111TH PL,60643,1170859.34621268,1830862.15997425,34,22,75,41.69135639951868,-87.65009052075153,"(41.691356399519, -87.650090520752)"
12/17/2018,Open,,18-03378218,Street Lights - All/Out,3620 S PULASKI RD,60623,1150273.40782341,1880651.64220363,22,10,30,41.82841048239715,-87.72416774877439,"(41.828410482397, -87.724167748774)"
12/17/2018,Open,,18-03380889,Street Lights - All/Out,6544 S KARLOV AVE,60629,1150164.86602151,1860884.34931811,13,8,65,41.77416820598754,-87.72507920040178,"(41.774168205988, -87.725079200402)"
12/17/2018,Open,,18-03383630,Street Lights - All/Out,1600 W 85TH ST,60620,1167154.26987748,1848352.34130575,21,6,71,41.73943204412819,-87.6631567915185,"(41.739432044128, -87.663156791518)"
12/17/2018,Open,,18-03377858,Street Lights - All/Out,10000 W OHARE AIRPORT,60666,,,41,16,76,,,
12/17/2018,Open,,18-03381397,Street Lights - All/Out,600 N DEARBORN ST,60654,1175835.2537335,1904183.6955094,42,18,8,41.89244837858314,-87.62967614359835,"(41.892448378583, -87.629676143598)"
12/17/2018,Open,,18-03378352,Street Lights - All/Out,2200 W LAKE ST,60612,1161712.76402897,1901285.55957492,27,12,28,41.88480174982678,-87.68162290487628,"(41.884801749827, -87.681622904876)"
12/17/2018,Open,,18-03381834,Street Lights - All/Out,4700 S CALIFORNIA AVE,60632,1158494.11870049,1873375.82862965,14,9,58,41.80828082766107,-87.69420501107564,"(41.808280827661, -87.694205011076)"
12/17/2018,Open,,18-03381334,Street Lights - All/Out,1656 N AVERS AVE,60647,1150456.94519431,1910734.14847576,26,25,23,41.91095676177767,-87.72270923973323,"(41.910956761778, -87.722709239733)"
12/17/2018,Open,,18-03384966,Street Lights - All/Out,8433 S PAULINA ST,60620,1166479.056787,1848777.29649067,21,6,71,41.740612585859104,-87.66561858620106,"(41.740612585859, -87.665618586201)"
12/17/2018,Open,,18-03380417,Street Lights - All/Out,4546 S JUSTINE ST,60609,1166766.85001219,1874572.71192896,15,9,61,41.81139238055474,-87.66382834389438,"(41.811392380555, -87.663828343894)"
12/17/2018,Open,,18-03378222,Street Lights - All/Out,8600 S KOLIN AVE,60652,1148921.66808255,1847164.44971019,18,8,70,41.73654246505095,-87.72998931492323,"(41.736542465051, -87.729989314923)"
12/17/2018,Open - Dup,,18-03382467,Street Lights - All/Out,3000 W 41ST ST,60632,1157030.08447402,1877299.95006826,12,9,58,41.819078875829746,-87.6994686142833,"(41.81907887583, -87.699468614283)"
12/17/2018,Open,,18-03382469,Street Lights - All/Out,3000 W 41ST ST,60632,1157030.08447402,1877299.95006826,12,9,58,41.819078875829746,-87.6994686142833,"(41.81907887583, -87.699468614283)"
12/17/2018,Open,,18-03378245,Street Lights - All/Out,3131 N MASON AVE,60634,1136173.41440909,1920203.72201455,30,25,19,41.937209401762956,-87.77495614557606,"(41.937209401763, -87.774956145576)"
12/17/2018,Open,,18-03378204,Street Lights - All/Out,4000 E 134TH ST,60633,1204439.11998539,1816676.27997743,10,4,55,41.65163236365521,-87.52763949079129,"(41.651632363655, -87.527639490791)"
12/17/2018,Open,,18-03380395,Street Lights - All/Out,8700 S SANGAMON ST,60620,1171496.91462863,1847143.27059827,21,22,71,41.73602028549629,-87.6472813773497,"(41.736020285496, -87.64728137735)"
12/17/2018,Open,,18-03378205,Street Lights - All/Out,6238 W 60TH ST,60638,1135730.93997025,1864094.37933336,13,8,64,41.78324507908548,-87.77791634836099,"(41.783245079085, -87.777916348361)"
12/17/2018,Open - Dup,,18-03378390,Street Lights - All/Out,5400 W HENDERSON ST,60641,1139773.50173091,1921746.09376663,30,16,15,41.941376717744284,-87.76168726395535,"(41.941376717744, -87.761687263955)"
12/17/2018,Open,,18-03378163,Street Lights - All/Out,1935 W 29TH ST,60608,1164039.46378468,1884961.52542331,25,9,31,41.839958295056334,-87.67353960863052,"(41.839958295056, -87.673539608631)"
12/17/2018,Open,,18-03381529,Street Lights - All/Out,6351 S WOOD ST,60636,1165432.59139095,1862560.87751589,15,7,67,41.77845886420551,-87.66906277782226,"(41.778458864206, -87.669062777822)"
12/17/2018,Open,,18-03384649,Street Lights - All/Out,5924 W EASTWOOD AVE,60630,1136009.35717465,1930308.11221041,45,16,15,41.96493980406587,-87.77531730641734,"(41.964939804066, -87.775317306417)"
12/17/2018,Open,,18-03378258,Street Lights - All/Out,4700 N LAWNDALE AVE,60625,1150875.11547712,1930978.37807542,35,17,14,41.96650038065091,-87.72064148164793,"(41.966500380651, -87.720641481648)"
12/17/2018,Open,,18-03378224,Street Lights - All/Out,10700 S LONGWOOD DR,60643,1165072.16520062,1833681.87928772,19,22,75,41.69921820255937,-87.67119869413486,"(41.699218202559, -87.671198694135)"
12/17/2018,Open,,18-03384824,Street Lights - All/Out,11912 S PARNELL AVE,60628,1174780.44508837,1825902.1116928,34,5,53,41.677659010502005,-87.63588201581491,"(41.677659010502, -87.635882015815)"
12/17/2018,Open,,18-03385328,Street Lights - All/Out,1920 W WARREN BLVD,60612,1163603.32000455,1900375.04131655,27,12,28,41.882263604500544,-87.67470616926771,"(41.882263604501, -87.674706169268)"
12/17/2018,Open,,18-03378206,Street Lights - All/Out,2344 S KOLIN AVE,60623,1148020.79238511,1887933.15457856,22,10,29,41.84843546585156,-87.73224554444216,"(41.848435465852, -87.732245544442)"
12/17/2018,Open - Dup,,18-03378591,Street Lights - All/Out,13200 S COMMERCIAL AVE,60633,1198103.84999239,1818032.8341047,10,4,55,41.65551505206362,-87.55077370255923,"(41.655515052064, -87.550773702559)"
12/17/2018,Open,,18-03384792,Street Lights - All/Out,2911 N MOBILE AVE,60634,1133905.6296196,1918679.89892124,30,25,19,41.93306808946501,-87.78332668495605,"(41.933068089465, -87.783326684956)"
12/17/2018,Open,,18-03384775,Street Lights - All/Out,1600 W SUPERIOR ST,60622,1165592.91239389,1905088.78640445,1,12,24,41.895156346503136,-87.66726604099766,"(41.895156346503, -87.667266040998)"
12/17/2018,Open,,18-03380937,Street Lights - All/Out,4528 S TROY ST,60632,1156127.56357975,1874445.05570768,14,9,58,41.81126289546853,-87.70285626693199,"(41.811262895469, -87.702856266932)"
12/17/2018,Open,,18-03385875,Street Lights - All/Out,600 N NOBLE ST,60642,1166951.2737725,1904127.06520097,1,12,24,41.89248827025393,-87.66230477219834,"(41.892488270254, -87.662304772198)"
12/17/2018,Open,,18-03384453,Street Lights - All/Out,11430 S CALUMET AVE,60628,1180621.83406892,1829123.21788919,9,5,49,41.6863664484521,-87.61440237483723,"(41.686366448452, -87.614402374837)"
12/17/2018,Open,,18-03378399,Street Lights - All/Out,5400 W MELROSE ST,60641,1139794.5737235,1921080.50538465,30,16,15,41.939549891042425,-87.76162613007479,"(41.939549891042, -87.761626130075)"
12/17/2018,Open,,18-03385100,Street Lights - All/Out,4722 S WASHTENAW AVE,60632,1159163.82010211,1873251.22067414,14,9,58,41.80792519461767,-87.69175210294817,"(41.807925194618, -87.691752102948)"
12/17/2018,Open,,18-03378337,Street Lights - All/Out,2900 W LUNT AVE,60645,1155791.4743864,1946287.46126824,50,24,2,42.008411338565054,-87.70214990017287,"(42.008411338565, -87.702149900173)"
12/17/2018,Open,,18-03378200,Street Lights - All/Out,12600 S HARVARD AVE,60628,1176247.21169838,1821382.64640789,9,5,53,41.66522417271232,-87.63064808588214,"(41.665224172712, -87.630648085882)"
12/17/2018,Open,,18-03378358,Street Lights - All/Out,1900 W LAKE ST,60612,1163707.83992705,1901398.35141552,27,12,28,41.885069449754695,-87.67429351550504,"(41.885069449755, -87.674293515505)"
12/17/2018,Open,,18-03378227,Street Lights - All/Out,8101 S LOOMIS BLVD,60620,1168406.29353152,1851035.35311252,21,6,71,41.74676775920028,-87.65849248798742,"(41.7467677592, -87.658492487987)"
12/17/2018,Open,,18-03377088,Street Lights - All/Out,900 W MADISON ST,60607,1170415.09577016,1900236.71997063,25,12,28,41.8817378638677,-87.6496974752968,"(41.881737863868, -87.649697475297)"
12/17/2018,Open - Dup,,18-03379325,Street Lights - All/Out,13200 S EXCHANGE AVE,60633,1197771.48947973,1818030.44737564,10,4,55,41.65551677610825,-87.5519898861883,"(41.655516776108, -87.551989886188)"
12/17/2018,Open,,18-03380317,Street Lights - All/Out,700 S LAKE SHORE DR,60605,1179322.56000991,1897219.48999635,4,1,32,41.8732590613334,-87.6170823350452,"(41.873259061333, -87.617082335045)"
12/17/2018,Open,,18-03380346,Street Lights - All/Out,7500 S LAFAYETTE AVE,60620,1177137.29141987,1855257.25430205,6,6,69,41.75816079472204,-87.62637291775287,"(41.758160794722, -87.626372917753)"
12/17/2018,Open,,18-03380078,Street Lights - All/Out,925 N DRAKE AVE,60651,1152543.84452456,1905938.39942907,27,11,23,41.897755750179684,-87.71516961141343,"(41.89775575018, -87.715169611413)"
12/17/2018,Open - Dup,,18-03378185,Street Lights - All/Out,10800 S RHODES AVE,60628,1181828.11500663,1833460.00007566,9,5,49,41.69823946186817,-87.60985308948358,"(41.698239461868, -87.609853089484)"
12/17/2018,Open - Dup,,18-03378596,Street Lights - All/Out,13400 S AVENUE K,60633,1202418.78906736,1816732.26818982,10,4,55,41.651837579194094,-87.53502949126973,"(41.651837579194, -87.53502949127)"
12/17/2018,Open,,18-03384244,Street Lights - All/Out,10500 S CALHOUN AVE,60617,1194864.31728857,1835885.80930638,10,4,51,41.7045857223467,-87.56204236071713,"(41.704585722347, -87.562042360717)"
12/17/2018,Open,,18-03378198,Street Lights - All/Out,12549 S STEWART AVE,60628,1175907.94111983,1821707.0224871,9,5,53,41.66612189756687,-87.6318800212922,"(41.666121897567, -87.631880021292)"
12/17/2018,Open,,18-03378357,Street Lights - All/Out,1307 N MOORMAN ST,60622,1164739.47070053,1908599.81939458,1,14,24,41.904809012484236,-87.67030084407648,"(41.904809012484, -87.670300844076)"
12/17/2018,Open - Dup,,18-03378418,Street Lights - All/Out,4600 N LAWNDALE AVE,60625,1150894.33702621,1930315.55351014,35,17,14,41.96468116804963,-87.72058823556064,"(41.96468116805, -87.720588235561)"
12/17/2018,Open,,18-03378406,Street Lights - All/Out,5200 W LAKE ST,60644,1141639.21928337,1902016.27982085,37,15,25,41.887201603683806,-87.75531863213051,"(41.887201603684, -87.755318632131)"
12/16/2018,Open,,18-03371455,Street Lights - All/Out,332 N DESPLAINES ST,60661,1171866.74828576,1902441.19421421,42,12,28,41.88775522857665,-87.64430208984261,"(41.887755228577, -87.644302089843)"
12/16/2018,Open,,18-03375954,Street Lights - All/Out,1900 S CHRISTIANA AVE,60623,1154332.35490537,1890511.50877278,24,10,29,41.855387205173905,-87.70901272539555,"(41.855387205174, -87.709012725396)"
12/16/2018,Open,,18-03375980,Street Lights - All/Out,63 E 21ST ST,60616,1177252.28107047,1890282.69360327,3,1,33,41.85427120630358,-87.62489341182729,"(41.854271206304, -87.624893411827)"
12/16/2018,Open,,18-03371729,Street Lights - All/Out,10523 S SANGAMON ST,60643,1171846.27117734,1835046.37367742,34,22,73,41.702816996041925,-87.6463551049547,"(41.702816996042, -87.646355104955)"
12/16/2018,Open,,18-03375685,Street Lights - All/Out,3601 S COTTAGE GROVE AVE,60653,1181514.1285975,1881151.64947254,4,2,36,41.829117476046186,-87.60953337570953,"(41.829117476046, -87.60953337571)"
12/16/2018,Open,,18-03375581,Street Lights - All/Out,255 W 114TH ST,60628,1176528.67999487,1829342.583531,34,5,49,41.687061180570595,-87.62938003405938,"(41.687061180571, -87.629380034059)"
12/16/2018,Open,,18-03376308,Street Lights - All/Out,1100 N ROCKWELL ST,60622,1158867.49661978,1907222.05851017,1,12,24,41.90115084034743,-87.69190819885476,"(41.901150840347, -87.691908198855)"
12/16/2018,Open,,18-03375670,Street Lights - All/Out,6400 W SCHOOL ST,60634,1133125.64449059,1921256.6232845,36,16,17,41.94015260811627,-87.78613267764305,"(41.940152608116, -87.786132677643)"
12/16/2018,Open,,18-03375577,Street Lights - All/Out,507 E 109TH ST,60628,1181577.94278823,1832790.74410279,9,5,49,41.69640869634879,-87.61078964266083,"(41.696408696349, -87.610789642661)"
12/16/2018,Open,,18-03374787,Street Lights - All/Out,2526 N ARTESIAN AVE,60647,1159592.13168668,1916679.78460829,32,14,22,41.927088658482695,-87.68898555934531,"(41.927088658483, -87.688985559345)"
12/16/2018,Open,,18-03375534,Street Lights - All/Out,10035 S ST LAWRENCE AVE,60628,1182013.56390074,1838433.5201279,9,5,49,41.71188317090626,-87.6090209103964,"(41.711883170906, -87.609020910396)"
12/16/2018,Open,,18-03373355,Street Lights - All/Out,2500 W THOMAS ST,60622,1159538.39371214,1907236.28740258,1,12,24,41.901176094287486,-87.68944353992568,"(41.901176094287, -87.689443539926)"
12/16/2018,Open,,18-03374740,Street Lights - All/Out,5451 W HENDERSON ST,60641,1139429.52000975,1921737.93000221,30,16,15,41.94136060324097,-87.76295175084022,"(41.941360603241, -87.76295175084)"
12/15/2018,Open,,18-03368667,Street Lights - All/Out,137 S SANGAMON ST,60607,1170118.00152755,1899584.63402618,25,12,28,41.87995498317175,-87.65080743315708,"(41.879954983172, -87.650807433157)"
12/15/2018,Open,,18-03368129,Street Lights - All/Out,5600 W BARRY AVE,60634,1138493.0048134,1920052.44348754,31,25,19,41.93675250285054,-87.76643483203638,"(41.936752502851, -87.766434832036)"
12/15/2018,Open,,18-03364535,Street Lights - All/Out,500 W 119TH ST,60628,1175107.87788418,1825990.22800502,34,5,53,41.67789353615754,-87.63468089337933,"(41.677893536158, -87.634680893379)"
12/15/2018,Open,,18-03366545,Street Lights - All/Out,10215 S PARNELL AVE,60628,1174436.96080823,1837156.67272936,9,22,73,41.70855086363036,-87.63680615930814,"(41.70855086363, -87.636806159308)"
12/15/2018,Open,,18-03368282,Street Lights - All/Out,407 W 125TH ST,60628,1175826.14111983,1822031.1224871,9,5,53,41.66701310719423,-87.63216973144621,"(41.667013107194, -87.632169731446)"
12/15/2018,Open,,18-03369437,Street Lights - All/Out,8637 W BERWYN AVE,60656,1117603.02011164,1933907.42000713,41,16,76,41.97512574006182,-87.84291871405024,"(41.975125740062, -87.84291871405)"
12/15/2018,Open,,18-03368467,Street Lights - All/Out,10400 S STATE ST,60628,1178088.0816288,1836016.63839018,34,5,49,41.70534063166538,-87.62346994883043,"(41.705340631665, -87.62346994883)"
12/15/2018,Open,,18-03365500,Street Lights - All/Out,5346 W MELROSE ST,60641,1140151.81553206,1921088.95950488,30,16,15,41.9395665447207,-87.76031293628945,"(41.939566544721, -87.760312936289)"
12/15/2018,Open,,18-03364110,Street Lights - All/Out,8643 S FRANCISCO AVE,60652,1158561.29738668,1847065.69990052,18,8,70,41.736080607673024,-87.69467521295473,"(41.736080607673, -87.694675212955)"
12/15/2018,Open,,18-03366589,Street Lights - All/Out,8500 S CENTRAL PARK AVE,60652,1153803.03788954,1847977.87896677,18,8,70,41.738679357082454,-87.71208384625929,"(41.738679357082, -87.712083846259)"
12/15/2018,Open,,18-03368265,Street Lights - All/Out,1316 N MILWAUKEE AVE,60622,1164821.50987675,1908889.58668821,1,14,24,41.905602413654044,-87.66999125969481,"(41.905602413654, -87.669991259695)"
12/15/2018,Open,,18-03368371,Street Lights - All/Out,453 W 30TH ST,60616,1173674.22428144,1885043.44961769,11,9,60,41.83997456277878,-87.63818185210053,"(41.839974562779, -87.638181852101)"
12/15/2018,Open,,18-03367475,Street Lights - All/Out,1900 N CLEVELAND AVE,60614,1172629.46582547,1912913.66417751,43,18,7,41.91647541931872,-87.64119088270239,"(41.916475419319, -87.641190882702)"
12/15/2018,Open,,18-03369534,Street Lights - All/Out,3308 N MENARD AVE,60634,1137123.77568793,1921442.68221573,30,16,15,41.9405922000566,-87.77143351675437,"(41.940592200057, -87.771433516754)"
12/15/2018,Open,,18-03368721,Street Lights - All/Out,3500 W WRIGHTWOOD AVE,60647,1152606.60037521,1917064.84919748,35,14,22,41.928286486544664,-87.71464432519322,"(41.928286486545, -87.714644325193)"
12/15/2018,Open,,18-03368281,Street Lights - All/Out,2716 W CHICAGO AVE,60622,1158248.36648014,1905219.53592373,26,12,24,41.89566842646283,-87.6942371153279,"(41.895668426463, -87.694237115328)"
12/15/2018,Open,,18-03369627,Street Lights - All/Out,8700 W WILSON AVE,60656,1117383.21576879,1929642.26748433,38,16,76,41.963425088385854,-87.84381664702133,"(41.963425088386, -87.843816647021)"
